Longitude,Latitude,Remark
8.453645,49.025938,Karlsruhe Hagsfeld
8.045236,49.386201,Neidenfels (D)
7.773047,49.203132,Hinterweidenthal-Ost
8.565384,49.979,Mörfelden
8.494709,49.912279,Gross Gerau-Dornberg
8.493656,49.877507,Gross Gerau-Dornheim
8.493098,49.853937,Riedstadt-Wolfskehlen
8.489187,49.83323,Riedstadt-Goddelau
8.47244,49.809433,Stockstadt (Rhein)
8.473978,49.781977,Biebesheim
8.4902,49.753598,Gernsheim
8.476857,49.714066,Gross Rohrheim
8.450413,49.688881,Biblis
8.40897,49.659467,Hofheim (Ried)
8.451786,49.663251,Bobstadt
8.459072,49.645125,Bürstadt
8.49595,49.647488,Riedrode
8.566262,49.659093,Lorsch
8.478489,49.598215,Lampertheim
8.656787,49.993612,Langen (Hess)
8.636586,49.855426,Darmstadt Süd
8.62582,49.813922,Darmstadt-Eberstadt
8.603415,49.759632,Bickenbach (Bergstr)
8.606664,49.73935,Hähnlein Alsbach
8.609119,49.725902,Zwingenberg (Bergstr)
8.613366,49.701557,Bensheim-Auerbach
8.616717,49.681329,Bensheim
8.633379,49.641553,Heppenheim (Bergstrasse)
8.644539,49.612076,Laudenbach(Bergstr)
8.648722,49.590869,Hemsbach
8.665351,49.553302,Weinheim(Bgstr)
8.708359,49.561039,Birkenau
8.720015,49.57797,Reisen(Hess)
8.730987,49.597299,Mörlenbach
8.75322,49.609367,Zotzenbach
8.757296,49.627348,Rimbach
8.764441,49.638678,Lörzenbach-Fahrenbach
8.781003,49.648534,Fürth (Odenw)
8.649501,49.527385,Lützelsachsen
8.633746,49.509408,Heddesheim/Hirschberg
8.602803,49.474242,Ladenburg
8.629636,49.872503,Darmstadt Hbf
11.08552,49.447657,Nürnberg ZOB
8.113836,49.189514,Landau (Pfalz) Süd
8.482603,49.525661,Mannheim-Waldhof
8.503772,49.501558,Mannheim-Käfertal
8.468921,49.479354,Mannheim Hbf
8.468417,49.479237,Mannheim Hbf (Busbahnhof)
8.516358,49.459786,Mannheim ARENA
8.538107,49.450962,Mannheim-Seckenheim
8.572382,49.438144,Mannheim-Friedrichsfeld Süd
8.580125,49.44867,Mannheim-Friedrichsfeld
8.64157,49.411929,Heidelberg Pfaffengrund/Wiebl.
8.675442,49.403567,Heidelberg Hbf
8.675383,49.379389,Heidelberg-Kirchheim
