400;Dübendorf
401;Glattbrugg
402;Au ZH
403;Oberrieden
404;Rüschlikon
405;Schübelbach-Buttikon
406;Pratteln
407;Muttenz
408;Lachen
409;Matran
410;Neyruz
411;Rosé
412;Villaz-St-Pierre
413;Cottens
414;Villars-sur-Glâne
415;Chénens
416;Yverdon-Champ Pittet
417;Cheyres
418;Givisiez
419;Belfaux CFF
420;Grolley
421;Léchelles
422;Cugy FR
423;Yvonand
424;Estavayer-le-Lac
425;Corcelles-Sud
426;Cousset
427;Laufen
428;Grenchen Nord
429;Kaiseraugst
430;Eiken
431;Möhlin
432;Rheinfelden
433;Pratteln Salina Raurica
434;Martigny
435;Münchenstein
436;Grellingen
437;Duggingen
438;Aesch
439;Dornach-Arlesheim
440;Mumpf
441;Stein-Säckingen
442;Frick
443;Leuk
444;Rheinfelden Augarten
445;Laufenburg
446;Glovelier
447;Porrentruy
448;Bassecourt
449;St-Maurice
450;Rümlingen
451;Trimbach
452;Diepflingen
453;Läufelfingen
454;Buckten
455;Sommerau
456;Genève-Eaux-Vives
457;Lancy-Bachet
458;Lancy-Pont-Rouge
459;Chêne-Bourg
460;Genève-Champel
461;Le Locle-Col-des-Roches
462;Travers
463;Grandgourt
464;Boncourt
465;Courtemaîche
466;Buix
467;Courchavon
468;Unterterzen
469;Bilten
470;Kempten
471;Coppet
472;Rolle
473;Gland
474;Mettmenstetten
475;Steinhausen
476;Küsnacht ZH
477;Meilen
478;Buchs-Dällikon
479;Otelfingen
480;Otelfingen Golfpark
481;Erlenbach ZH
482;Würenlos
483;Zürich Seebach
484;Kemptthal
485;Uerikon
486;Stäfa
487;Kempraten
488;Eglisau
489;Niederglatt
490;Glattfelden
491;Neuhausen
492;Rafz
493;Schwerzenbach ZH
494;Hüntwangen-Wil
495;Lottstetten
496;Neuhausen Rheinfall
497;Jestetten
498;Reutlingen
499;Winterthur Wallrüti
500;Oberwinterthur
501;Winterthur Seen
502;Mellingen Heitersberg
503;Sennhof-Kyburg
504;Winterthur Grüze
505;Mägenwil
506;Seuzach
507;Dachsen
508;Hettlingen
509;Schloss Laufen am Rheinfall
510;Andelfingen
511;Henggart
512;Marthalen
513;Hinwil
514;Schöfflisdorf-Oberweningen
515;Niederhasli
516;Niederweningen
517;Niederweningen Dorf
518;Steinmaur
519;Dielsdorf
520;Zürich Wipkingen
521;Wiesendangen
522;Felben-Wellhausen
523;Märstetten
524;Oberrieden Dorf
525;Hüttlingen-Mettendorf
526;Islikon
527;Kreuzlingen
528;Cham Alpenblick
529;Zug Schutzengel
530;Baar Neufeld
531;Hünenberg Chämleten
532;Brunnen
533;Schwyz
534;Sisikon
535;Steinen
536;Immensee
537;Meggen Zentrum
538;Luzern Verkehrshaus
539;Merlischachen
540;Küssnacht am Rigi
541;Meggen
542;Ballwil
543;Beinwil am See
544;Hallwil
545;Gelfingen
546;Ermensee
547;Seon
548;Hitzkirch
549;Birrwil
550;Hochdorf Schönau
551;Waldibrücke
552;Baldegg
553;Mosen
554;Hochdorf
555;Boniswil
556;Baldegg Kloster
557;Eschenbach
558;Russin
559;La Plaine
560;Vernier
561;Meyrin
562;Satigny
563;Zimeysa
564;Genève-Sécheron
565;Chambésy
566;Les Tuileries
567;Genthod-Bellevue
568;Pont-Céard
569;Versoix
570;Mies
571;Tannay
572;Creux-de-Genthod
573;Essert-Pittet
574;Le Day
575;Arnex
576;Rivaz
577;Ependes
578;Eclépens
579;Vufflens-la-Ville
580;Bavois
581;St-Saphorin
582;Villette VD
583;La Sarraz
584;Croy-Romainmôtier
585;Bretonnières
586;Roche VD
587;Leissigen
588;Rubigen
589;Flums
590;Frutigen
591;Sulgen
592;Kandersteg
593;Düdingen
594;Maienfeld
