Id;Label;Longitude;Latitude
356;Flüelen;8.624161;46.901719
357;Erstfeld;8.650667;46.820402
358;Altdorf;8.631565;46.875741
359;Küssnacht am Rigi;8.433249;47.083165
360;Merlischachen;8.409039;47.067656
361;Meggen;8.382155;47.049745
362;Meggen Zentrum;8.374124;47.045043
363;Luzern Verkehrshaus;8.33728;47.053928
364;Beinwil am See;8.202159;47.267616
365;Birrwil;8.198998;47.287848
366;Boniswil;8.184058;47.317107
367;Hallwil;8.175937;47.328636
368;Seon;8.158789;47.346141
369;Waldibrücke;8.320117;47.108412
370;Eschenbach;8.322778;47.132392
371;Ballwil;8.316881;47.153765
372;Hochdorf Schönau;8.298258;47.165078
373;Hochdorf;8.288906;47.166685
374;Baldegg Kloster;8.280578;47.180608
375;Baldegg;8.280528;47.185817
376;Gelfingen;8.264806;47.213555
377;Hitzkirch;8.252348;47.222513
378;Ermensee;8.242303;47.22969
379;Mosen;8.224149;47.244288
380;Zug Postplatz;8.515707;47.167863
381;Zug Casino;8.515186;47.162317
382;Zug Fridbach;8.512275;47.156578
383;Zug Oberwil;8.509921;47.147676
384;Aarburg-Oftringen;7.907819;47.320152
385;Zofingen;7.944106;47.287141
386;Brittnau-Wikon;7.956915;47.262538
387;Reiden;7.969087;47.241498
388;Dagmersellen;7.979592;47.218503
389;Nebikon;7.977012;47.193033
390;Wauwil;8.019008;47.183852
391;St. Erhard-Knutwil;8.074561;47.180077
392;Meyrin;6.076912;46.222332
393;Zimeysa;6.06574;46.221261
394;Satigny;6.037509;46.214221
395;Russin;6.017554;46.187772
396;La Plaine;5.999996;46.17866
397;Vernier;6.093894;46.22071
398;Genève-Sécheron;6.144559;46.222436
399;Chambésy;6.147339;46.242377
400;Les Tuileries;6.14734;46.249944
401;Genthod-Bellevue;6.153963;46.256731
402;Creux-de-Genthod;6.16132;46.26376
403;Pont-Céard;6.162672;46.287392
404;Mies;6.16957;46.299876
405;Tannay;6.181124;46.307635
406;Lancy-Pont-Rouge;6.12533;46.188898
407;Langenthal;7.784468;47.21687
408;Herzogenbuchsee;7.701356;47.188252
409;Burgdorf;7.620648;47.060392
410;Wynigen;7.663693;47.105138
411;Croy-Romainmôtier;6.478119;46.696704
412;Arnex;6.518903;46.698067
413;La Sarraz;6.517365;46.658777
414;Cossonay-Penthalaz;6.523683;46.606003
415;Vufflens-la-Ville;6.530762;46.576237
416;Bussigny;6.551819;46.54758
417;Le Day;6.400513;46.717281
418;Palézieux;6.837877;46.542753
419;Puidoux;6.7656087;46.4933834
420;Prilly-Malley;6.602629;46.52669
421;Eclépens;6.55242;46.657185
422;Bavois;6.559331;46.687672
423;Chavornay;6.56816;46.710077
424;Essert-Pittet;6.580657;46.72766
425;Ependes;6.607658;46.74641
426;Grandson;6.641936;46.80627
427;Bretonnières;6.474731;46.715046
428;Pully;6.659462;46.510919
429;Lutry;6.690611;46.503779
430;Villette VD;6.707284;46.495333
431;Cully;6.727147;46.488551
432;Epesses;6.745163;46.489319
433;Rivaz;6.784589;46.474197
434;St-Saphorin;6.79703;46.472586
435;La Tour-de-Peilz;6.85953;46.455444
436;Burier;6.877115;46.447877
437;Clarens;6.895777;46.442732
438;Territet;6.922702;46.426378
439;Veytaux-Chillon;6.927858;46.417612
440;Roche VD;6.927049;46.358686
441;Denges-Echandens;6.540508;46.529121
442;Lonay-Préverenges;6.519546;46.523123
443;Morges-St-Jean;6.508045;46.51819
444;St-Prex;6.455904;46.482305
445;Etoy;6.427139;46.47516
446;Pully-Nord;6.657988;46.51467
447;La Conversion;6.678325;46.513081
448;Bossière;6.699324;46.509738
449;Grandvaux;6.722647;46.496942
450;Moreillon;6.785648;46.508388
451;Oron;6.837102;46.572534
452;Vauderens;6.850031;46.621449
453;Chexbres-Village;6.778542;46.481053
454;Corseaux-Cornalles;6.824775;46.470446
455;Vevey-Funi;6.835437;46.468272
456;Palézieux-Village;6.82834;46.557239
457;Châtillens;6.815484;46.570528
458;Ecublens-Rue;6.811055;46.610418
459;Moudon;6.802504;46.668052
460;Lucens;6.842143;46.707767
461;Granges-Marnand;6.894289;46.758836
462;Henniez;6.870102;46.734996
463;Corcelles-Nord;6.960287;46.835253
464;Avenches;7.040916;46.884597
465;Murten/Morat;7.115375;46.925392
466;Muntelier-Löwenberg;7.133252;46.937972
467;Galmiz;7.153198;46.950869
468;Kerzers;7.192956;46.974915
469;Dompierre;6.985358;46.854399
470;Domdidier;7.01138;46.868505
471;Faoug;7.074592;46.908232
472;Flamatt;7.3201;46.888603
473;Balerna;9.005034;45.846757
474;S. Antonino;8.973924;46.160442
475;Cadenazzo;8.941688;46.152626
476;Quartino;8.887319;46.151303
477;Magadino-Vira;8.850179;46.145323
478;S. Nazzaro;8.807053;46.135166
479;Gerra (Gambarogno);8.784962;46.122044
480;Ranzo-S. Abbondio;8.776532;46.116998
481;Pino-Tronzano;8.734531;46.105262
482;Maccagno;8.734393;46.044985
483;Colmegna;8.75583;46.023144
484;Stabio;8.943939;45.849726
485;Cantello-Gaggiolo;8.907412;45.837843
486;Düdingen;7.189685;46.850495
487;Valmorea;8.924348;45.819914
488;Castione-Arbedo;9.041399;46.225258
489;Biasca;8.974167;46.351983
490;Airolo;8.608605;46.527527
491;Ambrì-Piotta;8.690151;46.510617
492;Faido;8.790702;46.483077
493;Lavorgo;8.839743;46.440898
494;Bodio TI;8.906559;46.380258
495;Riazzino;8.88532;46.175513
496;Gordola;8.865766;46.179046
497;Tenero;8.850221;46.177469
498;Locarno;8.801358;46.172428
499;Balsthal;7.694948;47.313462
500;Thalbrücke;7.68822;47.308548
501;Klus;7.694219;47.304928
502;Kandersteg;7.671811;46.495397
503;Goppenstein Autorampe;7.7542312;46.3678059
504;Monthey;6.955228;46.255646
505;Massongex;6.985656;46.2412
506;Turtmann;7.700094;46.309368
507;Gampel-Steg;7.747393;46.30647
508;Raron;7.800987;46.306087
509;Rorschach;9.505131;47.477999
510;Heerbrugg;9.62778;47.410862
511;Altstätten SG;9.556371;47.374043
512;Bad Ragaz;9.504867;47.010133
513;Maienfeld;9.529006;47.004036
514;Lyss;7.306026;47.076612
515;Zollikofen;7.462378;47.001282
516;Münchenbuchsee;7.451916;47.021334
517;Schüpfen;7.385944;47.042281
518;Suberg-Grossaffoltern;7.338924;47.05898
519;Walenstadt;9.312065;47.119976
520;Flums;9.347909;47.096407
521;Sonceboz-Sombeval;7.168754;47.195139
522;Courtelary;7.068796;47.17562
523;St-Imier;7.001214;47.151699
524;Corgémont;7.144654;47.193388
525;Cortébert;7.107296;47.189329
526;Cormoret;7.05412;47.172936
527;Villeret;7.019673;47.160196
528;Sonvilier;6.969344;47.141327
529;Renan BE;6.92537;47.125713
530;Chambrelien;6.812253;46.967103
531;Les Geneveys-sur-Coffrane;6.853213;47.015086
532;Les Hauts-Geneveys;6.874668;47.047171
533;Corcelles-Peseux;6.883805;46.983341
534;Göschenen;8.588381;46.665983
535;Wildegg;8.163767;47.415359
536;Les Deurres;6.899149;46.985519
537;Fleurier;6.581579;46.904859
538;Buttes;6.553865;46.888482
539;Neuchâtel-Serrières;6.903358;46.983955
540;Auvernier;6.877706;46.979632
541;Bôle;6.837685;46.968958
542;Champ-du-Moulin;6.774984;46.959903
543;Noiraigue;6.721799;46.954914
544;La Presta Mines d'asphalte;6.654396;46.931119
545;Couvet;6.635668;46.923351
546;Môtiers;6.610334;46.911854
